LOG PRICE,X1,X2,X3,X4,AIZ,DUK,NML,SEAS,SMLP,DAY
4.510,-0.004,-0.015,-0.029,-0.047,1,0,0,0,0,1
4.512,0.003,0.007,0.022,0.051,1,0,0,0,0,2
4.510,-0.002,-0.005,-0.012,-0.033,1,0,0,0,0,3
4.502,-0.008,-0.006,-0.001,0.010,1,0,0,0,0,4
4.514,0.012,0.020,0.026,0.027,1,0,0,0,0,5
4.494,-0.020,-0.032,-0.052,-0.078,1,0,0,0,0,6
4.481,-0.013,0.008,0.040,0.092,1,0,0,0,0,7
4.487,0.006,0.019,0.012,-0.028,1,0,0,0,0,8
4.487,0.000,-0.007,-0.026,-0.038,1,0,0,0,0,9
4.507,0.020,0.020,0.027,0.052,1,0,0,0,0,10
4.503,-0.004,-0.023,-0.043,-0.070,1,0,0,0,0,11
4.519,0.016,0.019,0.043,0.086,1,0,0,0,0,12
4.525,0.006,-0.009,-0.028,-0.071,1,0,0,0,0,13
4.512,-0.013,-0.019,-0.010,0.019,1,0,0,0,0,14
4.406,0.009,-0.003,-0.018,-0.040,0,1,0,0,0,1
4.401,-0.005,-0.014,-0.011,0.007,0,1,0,0,0,2
4.404,0.003,0.008,0.022,0.033,0,1,0,0,0,3
4.369,-0.036,-0.039,-0.048,-0.070,0,1,0,0,0,4
4.386,0.017,0.053,0.092,0.140,0,1,0,0,0,5
4.379,-0.006,-0.023,-0.076,-0.168,0,1,0,0,0,6
4.378,-0.002,0.005,0.028,0.104,0,1,0,0,0,7
4.383,0.005,0.006,0.002,-0.026,0,1,0,0,0,8
4.390,0.007,0.002,-0.004,-0.006,0,1,0,0,0,9
4.400,0.011,0.004,0.002,0.006,0,1,0,0,0,10
4.397,-0.004,-0.014,-0.018,-0.020,0,1,0,0,0,11
4.418,0.021,0.025,0.039,0.057,0,1,0,0,0,12
4.425,0.007,-0.014,-0.039,-0.078,0,1,0,0,0,13
4.425,0.000,-0.007,0.007,0.046,0,1,0,0,0,14
2.318,0.013,-0.001,-0.012,-0.019,0,0,1,0,0,1
2.328,0.011,-0.002,-0.001,0.011,0,0,1,0,0,2
2.330,0.002,-0.009,-0.006,-0.005,0,0,1,0,0,3
2.318,-0.013,-0.015,-0.006,0.000,0,0,1,0,0,4
2.320,0.002,0.015,0.030,0.037,0,0,1,0,0,5
2.279,-0.046,-0.048,-0.063,-0.093,0,0,1,0,0,6
2.277,-0.002,0.043,0.091,0.154,0,0,1,0,0,7
2.272,-0.006,-0.003,-0.047,-0.138,0,0,1,0,0,8
2.276,0.005,0.010,0.014,0.061,0,0,1,0,0,9
2.277,0.001,-0.003,-0.014,-0.028,0,0,1,0,0,10
2.276,-0.001,-0.002,0.001,0.015,0,0,1,0,0,11
2.296,0.022,0.023,0.025,0.024,0,0,1,0,0,12
2.320,0.028,0.006,-0.017,-0.041,0,0,1,0,0,13
2.313,-0.009,-0.036,-0.042,-0.026,0,0,1,0,0,14
2.642,-0.010,-0.017,-0.018,-0.013,0,0,0,1,0,1
2.647,0.005,0.015,0.032,0.050,0,0,0,1,0,2
2.610,-0.040,-0.045,-0.060,-0.092,0,0,0,1,0,3
2.576,-0.036,0.003,0.048,0.109,0,0,0,1,0,4
2.581,0.005,0.041,0.038,-0.010,0,0,0,1,0,5
2.596,0.016,0.011,-0.030,-0.068,0,0,0,1,0,6
2.613,0.018,0.002,-0.009,0.021,0,0,0,1,0,7
2.612,-0.002,-0.020,-0.022,-0.013,0,0,0,1,0,8
2.612,0.000,0.002,0.022,0.044,0,0,0,1,0,9
2.617,0.006,0.006,0.004,-0.018,0,0,0,1,0,10
2.574,-0.046,-0.051,-0.057,-0.061,0,0,0,1,0,11
2.586,0.013,0.059,0.111,0.168,0,0,0,1,0,12
2.655,0.075,0.061,0.002,-0.108,0,0,0,1,0,13
2.671,0.017,-0.057,-0.119,-0.121,0,0,0,1,0,14
3.253,-0.002,-0.015,-0.044,-0.102,0,0,0,0,1,1
3.207,-0.047,-0.045,-0.031,0.013,0,0,0,0,1,2
3.205,-0.002,0.045,0.091,0.121,0,0,0,0,1,3
3.180,-0.026,-0.024,-0.069,-0.160,0,0,0,0,1,4
3.182,0.002,0.028,0.052,0.122,0,0,0,0,1,5
3.163,-0.020,-0.022,-0.050,-0.102,0,0,0,0,1,6
3.161,-0.002,0.017,0.039,0.089,0,0,0,0,1,7
3.163,0.002,0.004,-0.013,-0.052,0,0,0,0,1,8
3.154,-0.010,-0.012,-0.017,-0.004,0,0,0,0,1,9
3.179,0.027,0.037,0.049,0.066,0,0,0,0,1,10
3.156,-0.024,-0.051,-0.088,-0.138,0,0,0,0,1,11
3.178,0.022,0.047,0.098,0.186,0,0,0,0,1,12
3.193,0.016,-0.006,-0.053,-0.151,0,0,0,0,1,13
3.182,-0.011,-0.027,-0.021,0.032,0,0,0,0,1,14